GEO Run ID	BioProject	BioSample	Experiment	Fraction	GEO_Accession (exp)	source_name	SRA Study	Treatment	Cell_type
SRR15513205	PRJNA756018	SAMN20849899	SRX11811999	ribosome-protected mRNA fragments	GSM5527730	untreated human coronary artery endothelial cells	SRP333128	untreated	HCAEC (human coronary artery endothelial cells)
SRR15513206	PRJNA756018	SAMN20849900	SRX11812000	ribosome-protected mRNA fragments	GSM5527731	untreated human coronary artery endothelial cells	SRP333128	untreated	HCAEC (human coronary artery endothelial cells)
SRR15513207	PRJNA756018	SAMN20849901	SRX11812001	ribosome-protected mRNA fragments	GSM5527732	untreated human coronary artery endothelial cells	SRP333128	untreated	HCAEC (human coronary artery endothelial cells)
SRR15513208	PRJNA756018	SAMN20849925	SRX11812002	ribosome-protected mRNA fragments	GSM5527733	untreated normal human hepatocytes	SRP333128	untreated	Hepatocytes
SRR15513209	PRJNA756018	SAMN20849926	SRX11812003	ribosome-protected mRNA fragments	GSM5527734	untreated normal human hepatocytes	SRP333128	untreated	Hepatocytes
SRR15513210	PRJNA756018	SAMN20849927	SRX11812004	ribosome-protected mRNA fragments	GSM5527735	untreated normal human hepatocytes	SRP333128	untreated	Hepatocytes
SRR15513211	PRJNA756018	SAMN20849928	SRX11812005	ribosome-protected mRNA fragments	GSM5527736	untreated normal human hepatocytes	SRP333128	untreated	Hepatocytes
SRR15513212	PRJNA756018	SAMN20849929	SRX11812006	ribosome-protected mRNA fragments	GSM5527737	untreated normal human hepatocytes	SRP333128	untreated	Hepatocytes
SRR15513216	PRJNA756018	SAMN20849915	SRX11812010	ribosome-protected mRNA fragments	GSM5527741	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513217	PRJNA756018	SAMN20849916	SRX11812011	ribosome-protected mRNA fragments	GSM5527742	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513218	PRJNA756018	SAMN20849917	SRX11812012	ribosome-protected mRNA fragments	GSM5527743	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513219	PRJNA756018	SAMN20849918	SRX11812013	ribosome-protected mRNA fragments	GSM5527744	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513220	PRJNA756018	SAMN20849919	SRX11812014	ribosome-protected mRNA fragments	GSM5527745	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513221	PRJNA756018	SAMN20849920	SRX11812015	ribosome-protected mRNA fragments	GSM5527746	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513222	PRJNA756018	SAMN20849921	SRX11812016	ribosome-protected mRNA fragments	GSM5527747	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513223	PRJNA756018	SAMN20849922	SRX11812017	ribosome-protected mRNA fragments	GSM5527748	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513224	PRJNA756018	SAMN20849923	SRX11812018	ribosome-protected mRNA fragments	GSM5527749	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513225	PRJNA756018	SAMN20849924	SRX11812019	ribosome-protected mRNA fragments	GSM5527750	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513226	PRJNA756018	SAMN20849870	SRX11812020	ribosome-protected mRNA fragments	GSM5527751	untreated normal human vascular smooth muscle cells	SRP333128	untreated	VSMC (vascular smooth muscle cells)
SRR15513150	PRJNA756018	SAMN20849935	SRX11811944	ribosome-protected mRNA fragments	GSM5527675	untreated normal human brain tissue	SRP333128	untreated	Brain
SRR15513198	PRJNA756018	SAMN20849892	SRX11811992	ribosome-protected mRNA fragments	GSM5527723	untreated human aortic endothelial cells	SRP333128	untreated	HA_EC (human aortic endothelial cells)
SRR1528686	PRJNA256316	SAMN02943066	SRX663295	ribosome-protected mRNA fragments (not listed in SRA metadata)	GSM1446874	Kidney normal tissue 1 RP	SRP044937	untreated (not listed in SRA metatable)	Kidney
SRR1528687	PRJNA256316	SAMN02943066	SRX663295	ribosome-protected mRNA fragments (not listed in SRA metadata)	GSM1446874	Kidney normal tissue 1 RP	SRP044937	untreated (not listed in SRA metatable)	Kidney
SRR1528688	PRJNA256316	SAMN02943068	SRX663296	ribosome-protected mRNA fragments (not listed in SRA metadata)	GSM1446875	Kidney normal tissue 2 RP	SRP044937	untreated (not listed in SRA metatable)	Kidney
SRR1528689	PRJNA256316	SAMN02943068	SRX663296	ribosome-protected mRNA fragments (not listed in SRA metadata)	GSM1446875	Kidney normal tissue 2 RP	SRP044937	untreated (not listed in SRA metatable)	Kidney
