"Project ID","Cancer Type","Data Source","Accession No.",Country,"Sample ID","Sample Type","Construction Protocol","Transcriptome Analysis","Metabolic Profile"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-11-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-12-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123904,USA,LUAD-003-13-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123902,USA,LUAD-003-14-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123902,USA,LUAD-003-15-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123902,USA,LUAD-003-16-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-003,"Lung Adenocarcinoma","NCBI (GEO)",GSE123902,USA,LUAD-003-17-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-04-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-05-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUAD-004,"Lung Adenocarcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUAD-004-08-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
LUSC-005,"Lung Squamous Cell Carcinoma","ArrayExpress (EBI)",E-MTAB-6149,BEL,LUSC-005-07-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-006,"Non-small Cell Lung Cancer","ArrayExpress (EBI)",E-MTAB-6149,BEL,NSCLC-006-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-006,"Non-small Cell Lung Cancer","ArrayExpress (EBI)",E-MTAB-6149,BEL,NSCLC-006-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-006,"Non-small Cell Lung Cancer","ArrayExpress (EBI)",E-MTAB-6149,BEL,NSCLC-006-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-006,"Non-small Cell Lung Cancer","ArrayExpress (EBI)",E-MTAB-6149,BEL,NSCLC-006-04-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-007,"Non-small Cell Lung Cancer","NCBI (GEO)",GSE143423,CHN,NSCLC-007-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-007,"Non-small Cell Lung Cancer","NCBI (GEO)",GSE143423,CHN,NSCLC-007-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
NSCLC-007,"Non-small Cell Lung Cancer","NCBI (GEO)",GSE143423,CHN,NSCLC-007-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
TNBC-008,"Triple Negative Breast Cancer","NCBI (GEO)",GSE143423,CHN,TNBC-008-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-009,Glioblastoma,"NCBI (GEO)",GSE141946,USA,GBM-009-01-1C,Tumour,Drop-seq,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-009,Glioblastoma,"NCBI (GEO)",GSE141946,USA,GBM-009-02-1C,Tumour,Drop-seq,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-009,Glioblastoma,"NCBI (GEO)",GSE141946,USA,GBM-009-03-1C,Tumour,Drop-seq,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-009,Glioblastoma,"NCBI (GEO)",GSE141946,USA,GBM-009-04-1C,Tumour,Drop-seq,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-010,Glioblastoma,"NCBI (GEO)",GSE139448,USA,GBM-010-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-010,Glioblastoma,"NCBI (GEO)",GSE139448,USA,GBM-010-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-010,Glioblastoma,"NCBI (GEO)",GSE139448,USA,GBM-010-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-011,Glioblastoma,"NCBI (GEO)",GSE84465,USA,GBM-011-01-1B,Tumour,Smart-seq2,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-011,Glioblastoma,"NCBI (GEO)",GSE84465,USA,GBM-011-02-1B,Tumour,Smart-seq2,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-011,Glioblastoma,"NCBI (GEO)",GSE84465,USA,GBM-011-03-1B,Tumour,Smart-seq2,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-011,Glioblastoma,"NCBI (GEO)",GSE84465,USA,GBM-011-04-1B,Tumour,Smart-seq2,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-01-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-02-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-03-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-04-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-05-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-06-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
GBM-012,Glioblastoma,"NCBI (GEO)",GSE103224,USA,GBM-012-07-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
AA-013,"Anaplastic Astrocytoma","NCBI (GEO)",GSE103224,USA,AA-013-01-1D,Tumour,Microwell,"<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
STAD-014,"Stomach Adenocarcinoma","NCBI (GEO)",GSE134520,CHN,STAD-014-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
IDC-015,"Invasive Ductal Carcinoma","NCBI (GEO)",GSE148673,USA,IDC-015-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
IDC-015,"Invasive Ductal Carcinoma","NCBI (GEO)",GSE148673,USA,IDC-015-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-01-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-02-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-03-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-04-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-05-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-06-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-07-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-08-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-09-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-10-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-11-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-12-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-13-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-14-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-15-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-16-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-17-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-18-1A,Tumour,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-19-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-20-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-21-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
CRC-016,"Colorectal Cancer","Single Cell Expression Atlas - EBI",E-MTAB-8410,KOR,CRC-016-22-1A,Normal,"10X Genomics","<img src=""/cancerscem/img/transcriptome-analysis-icon.png"" class=""image-icon"">","<img src=""/cancerscem/img/metabolic-profile-icon.png"" class=""image-icon"">"
