Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Specimen_Name,SRA Study
SRR24707484,AMPLICON,594,7818969,PRJNA975142,SAMN35310267,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",4578747,FRED HUTCH,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486336,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s507,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n718-s507,7887GAR-RPG,SRP438987
SRR24707485,AMPLICON,591,10176792,PRJNA975142,SAMN35310266,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",5678795,FRED HUTCH,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486335,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s506,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n718-s506,6769POW-RPG,SRP438987
SRR24707486,AMPLICON,590,6094400,PRJNA975142,SAMN35310265,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",3419169,FRED HUTCH,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486334,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s505,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n718-s505,6769POW-LPG,SRP438987
SRR24707487,AMPLICON,590,10869149,PRJNA975142,SAMN35310264,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",5783748,FRED HUTCH,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486333,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s503,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m69n718-s503,4080CHE-PG,SRP438987
SRR24707488,AMPLICON,595,3549539,PRJNA975142,SAMN35310263,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",2153550,FRED HUTCH,missing,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX20486332,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n718-s502,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m69n718-s502,3971BIC-PG,SRP438987
SRR24707492,AMPLICON,600,1847400,PRJNA975142,SAMN35311096,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",1471279,FRED HUTCH,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX20486328,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n726-s520,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m91n726-s520,NTC_m91_4F9,SRP438987
SRR24707497,AMPLICON,600,1813200,PRJNA975142,SAMN35311091,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",1435777,FRED HUTCH,missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486323,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n721-s518,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m91n721-s518,NTC_m91_4E5,SRP438987
SRR24707498,AMPLICON,600,875400,PRJNA975142,SAMN35311090,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",745685,FRED HUTCH,missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX20486322,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n721-s507,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:10:00Z,1,m91n721-s507,NTC_m91_2E5,SRP438987
SRR24707511,AMPLICON,600,62783400,PRJNA975142,SAMN35311035,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",44467198,FRED HUTCH,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486309,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n710-s518,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n710-s518,9152PEL-CX,SRP438987
SRR24707519,AMPLICON,600,70235400,PRJNA975142,SAMN35311028,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",53582151,FRED HUTCH,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486301,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n710-s508,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n710-s508,7361PET-CX,SRP438987
SRR24707531,AMPLICON,600,53567400,PRJNA975142,SAMN35310952,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",38760182,FRED HUTCH,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX20486289,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n702-s520,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n702-s520,4133BLU-CX,SRP438987
SRR24707532,AMPLICON,600,59259000,PRJNA975142,SAMN35310951,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",42429019,FRED HUTCH,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486288,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n702-s518,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n702-s518,3347MCL-CX,SRP438987
SRR24707533,AMPLICON,600,44562600,PRJNA975142,SAMN35310950,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",32244338,FRED HUTCH,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486287,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n702-s517,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n702-s517,2995LIB-CX,SRP438987
SRR24707534,AMPLICON,600,52450800,PRJNA975142,SAMN35310949,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",37574412,FRED HUTCH,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX20486286,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n702-s516,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n702-s516,0786FOS-CX,SRP438987
SRR24707535,AMPLICON,589,35842303,PRJNA975142,SAMN35310184,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",18141567,FRED HUTCH,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486285,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n707-s522,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n707-s522,4870MOR-ROV,SRP438987
SRR24707538,AMPLICON,600,59775600,PRJNA975142,SAMN35310946,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",45478188,FRED HUTCH,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486282,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n702-s511,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n702-s511,1265SPE-CX,SRP438987
SRR24707540,AMPLICON,600,43106400,PRJNA975142,SAMN35310944,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",31630086,FRED HUTCH,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486280,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n702-s506,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n702-s506,9755MAS-CX,SRP438987
SRR24707544,AMPLICON,600,61182600,PRJNA975142,SAMN35310940,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",44254597,FRED HUTCH,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486276,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n701-s522,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n701-s522,7958HOP-CX,SRP438987
SRR24707548,AMPLICON,600,54756000,PRJNA975142,SAMN35310937,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",41970020,FRED HUTCH,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX20486272,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n701-s517,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n701-s517,4080CHE-CX,SRP438987
SRR24707549,AMPLICON,600,55753800,PRJNA975142,SAMN35310936,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",42175671,FRED HUTCH,missing,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486271,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m91n701-s516,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m91n701-s516,1922BUR-CX,SRP438987
SRR24707554,AMPLICON,589,185286437,PRJNA975142,SAMN35310867,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",86500106,FRED HUTCH,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486266,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n721-s505,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n721-s505,9152PEL-LTO,SRP438987
SRR24707558,AMPLICON,590,80352167,PRJNA975142,SAMN35310863,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",38935520,FRED HUTCH,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486262,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n720-s508,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n720-s508,8653RAU-RTO,SRP438987
SRR24707565,AMPLICON,594,2555679,PRJNA975142,SAMN35310857,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",1525634,FRED HUTCH,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486255,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n719-s511,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n719-s511,7940GRA-RTO,SRP438987
SRR24707566,AMPLICON,591,15364626,PRJNA975142,SAMN35310856,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",7826525,FRED HUTCH,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486254,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n719-s507,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:12:00Z,1,m81n719-s507,7630BLA-RTO,SRP438987
SRR24707569,AMPLICON,590,38228596,PRJNA975142,SAMN35310853,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",18639033,FRED HUTCH,missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX20486251,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n719-s503,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n719-s503,7579TRO-LTO,SRP438987
SRR24707578,AMPLICON,589,20764373,PRJNA975142,SAMN35310780,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",9851842,FRED HUTCH,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486242,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n707-s520,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:12:00Z,1,m81n707-s520,8002KAR-RTO,SRP438987
SRR24707580,AMPLICON,591,16212992,PRJNA975142,SAMN35310167,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",8678260,FRED HUTCH,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486240,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m69n705-s522,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m69n705-s522,1525COO-LOV,SRP438987
SRR24707581,AMPLICON,594,17547617,PRJNA975142,SAMN35310778,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",9738914,FRED HUTCH,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,not applicable,SRX20486239,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n707-s517,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n707-s517,7972CHA-RTO,SRP438987
SRR24707582,AMPLICON,598,21378932,PRJNA975142,SAMN35310777,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",13253205,FRED HUTCH,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",not applicable,not applicable,not applicable,SRX20486238,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n707-s516,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n707-s516,7972CHA-LTO,SRP438987
SRR24707593,AMPLICON,590,53586762,PRJNA975142,SAMN35310767,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",25855193,FRED HUTCH,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,not applicable,SRX20486227,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n706-s511,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n706-s511,4375ALC-LTO,SRP438987
SRR24707597,AMPLICON,590,38788860,PRJNA975142,SAMN35310763,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",18440901,FRED HUTCH,missing,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,not applicable,SRX20486223,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n706-s503,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n706-s503,3361PET-LTO,SRP438987
SRR24707598,AMPLICON,595,13260193,PRJNA975142,SAMN35310762,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-vaginal",7693924,FRED HUTCH,missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",not applicable,not applicable,not applicable,SRX20486222,USA,North America,"USA: Seattle\, WA",Homo sapiens,Illumina MiSeq,not collected,m81n706-s502,PAIRED,PCR,METAGENOMIC,human vaginal metagenome,ILLUMINA,2023-11-14T00:00:00Z,2023-05-23T17:11:00Z,1,m81n706-s502,3266PUT-RTO,SRP438987
